,title,authors,paper_url
51,Hybrid Generative Fusion for Efficient and Privacy-Preserving Face Recognition Dataset Generation,"['Feiran Li', 'Qianqian Xu', 'Shilong Bao', 'Boyu Han', 'Zhiyong Yang', 'Qingming Huang']",https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Li_Hybrid_Generative_Fusion_for_Efficient_and_Privacy-Preserving_Face_Recognition_Dataset_ICCVW_2025_paper.pdf
52,Enhancing Domain Diversity in Synthetic Data Face Recognition with Dataset Fusion,"['Anjith George', 'Sébastien Marcel']",https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/George_Enhancing_Domain_Diversity_in_Synthetic_Data_Face_Recognition_with_Dataset_ICCVW_2025_paper.pdf
53,On the Generalization of Optical Flow: Quantifying Robustness to Dataset Shifts,"['Katrin Bauer', 'Andres Bruhn', 'Jenny Schmalfuss']",https://openaccess.thecvf.com/content/ICCV2025W/DataCV/papers/Bauer_On_the_Generalization_of_Optical_Flow_Quantifying_Robustness_to_Dataset_ICCVW_2025_paper.pdf
54,DeepID Challenge of Detecting Synthetic Manipulations in ID Documents,"['Pavel Korshunov', 'Vidit Vidit', 'Amir Mohammadi', 'Christophe Ecabert', 'Nevena Shamoska', 'Sébastien Marcel', 'Zeqin Yu', 'Ye Tian', 'Jiangqun Ni', 'Lazar Lazarevic', 'Renat Khizbullin', 'Anastasiia Evteeva', 'Alexey Tochin', 'Aleksei Grishin', 'Anjith George', 'Daniel Dealcala', 'Tamas Endrei', 'Javier Muñoz-Haro', 'Ruben Tolosana', 'Ruben Vera-Rodriguez', 'Aythami Morales', 'Julian Fierrez', 'György Cserey', 'Hardik Sharma', 'Sachin Chaudhary', 'Akshay Dudhane', 'Praful Hambarde', 'Amit Shukla', 'Prateek Shaily', 'Jayant Kumar', 'Ajinkya Hase', 'Satish Maurya', 'Mridul Sharma', 'Pallav Dwivedi']",https://openaccess.thecvf.com/content/ICCV2025W/DeepID/papers/Korshunov_DeepID_Challenge_of_Detecting_Synthetic_Manipulations_in_ID_Documents_ICCVW_2025_paper.pdf
55,Remote Heart Rate Measurement Based on Near Infrared Prior Information,"['Hang Shao', 'Chuanfei Hu']",https://openaccess.thecvf.com/content/ICCV2025W/CVPM/papers/Shao_Remote_Heart_Rate_Measurement_Based_on_Near_Infrared_Prior_Information_ICCVW_2025_paper.pdf
56,BeatFormer: Efficient motion-robust remote heart rate estimation through unsupervised spectral zoomed attention filters,"['Joaquim Comas Martínez', 'Federico Sukno']",https://openaccess.thecvf.com/content/ICCV2025W/CVPM/papers/Martinez_BeatFormer_Efficient_motion-robust_remote_heart_rate_estimation_through_unsupervised_spectral_ICCVW_2025_paper.pdf
57,A High-Throughput Platform to Bench Test Smartphone-Based Heart Rate Measurements Derived From Video,"['Ming-Zher Poh', 'Jonathan Wang', 'Jonathan Hsu', 'Lawrence Cai', 'Eric Teasley', 'James Taylor', 'Jameson Rogers', 'Anupam Pathak', 'Shwetak Patel']",https://openaccess.thecvf.com/content/ICCV2025W/CVPM/papers/Poh_A_High-Throughput_Platform_to_Bench_Test_Smartphone-Based_Heart_Rate_Measurements_ICCVW_2025_paper.pdf
58,VitalVideos-Worldwide: A large and diverse rPPG dataset with rich ground truths,['Pieter-Jan Toye'],https://openaccess.thecvf.com/content/ICCV2025W/CVPM/papers/Toye_VitalVideos-Worldwide_A_large_and_diverse_rPPG_dataset_with_rich_ground_ICCVW_2025_paper.pdf
59,Are Medical Image Generative Models Biologically Trustworthy?,"['Suhyun Ahn', 'Wonjung Park', 'Jinah Park']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Ahn_Are_Medical_Image_Generative_Models_Biologically_Trustworthy_ICCVW_2025_paper.pdf
60,SAM-SPJunc: Self-Prompting for Junction Detection in Retinal Images via Radius-Based Representations,"['Minasadat Attari', 'Kannappan Palaniappan', 'Filiz Bunyak']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Attari_SAM-SPJunc_Self-Prompting_for_Junction_Detection_in_Retinal_Images_via_Radius-Based_ICCVW_2025_paper.pdf
